Input_dB;Output_dB_SW;Gain_Reduction_dB_SW;Output_dB_HW;Gain_Reduction_dB_HW;Metrik Analisis;Nilai
-16,9697;-15,1377;-2,168;-15,1381;-2,1684;;
-16,3636;-14,9386;-2,575;-14,9389;-2,5753;;
-15,7576;-14,73;-2,9725;-14,7298;-2,9722;;
-15,1515;-14,5118;-3,3603;-14,5115;-3,36;;
-14,5455;-14,2838;-3,7384;-14,2848;-3,7393;;
-13,9394;-14,0458;-4,1064;-14,0465;-4,1071;;
-13,3333;-13,7976;-4,4642;-13,7989;-4,4656;;
-12,7273;-13,5391;-4,8118;-13,5494;-4,8221;;
-12,1212;-13,2702;-5,149;-13,3622;-5,241;;
-11,5152;-12,9909;-5,4757;-12,9913;-5,4761;;
-10,9091;-12,701;-5,7919;-12,7005;-5,7914;;
-10,303;-12,4006;-6,0975;-12,4003;-6,0973;;
-9,697;-12,0895;-6,3926;-12,0898;-6,3929;;
-9,0909;-11,768;-6,6771;-11,7675;-6,6766;;
-8,4848;-11,4359;-6,9511;-11,4359;-6,951;;
-7,8788;-11,0934;-7,2146;-11,0936;-7,2148;;
-7,2727;-10,7406;-7,4679;-10,7415;-7,4687;;
-6,6667;-10,3775;-7,7109;-10,3864;-7,7197;;
-6,0606;-10,0044;-7,9438;-10,0943;-8,0337;;
-5,4545;-9,6213;-8,1668;-9,6218;-8,1672;;
-4,8485;-9,2285;-8,38;-9,2287;-8,3803;;
-4,2424;-8,8262;-8,5837;-8,8263;-8,5839;;
-3,6364;-8,4145;-8,7781;-8,4144;-8,7781;;
-3,0303;-7,9937;-8,9634;-7,9939;-8,9636;;
-2,4242;-7,5641;-9,1399;-7,5642;-9,1399;;
-1,8182;-7,1259;-9,3077;-7,1258;-9,3076;;
-1,2121;-6,6793;-9,4672;-6,6804;-9,4683;;
-0,6061;-6,2247;-9,6187;-6,2339;-9,6279;;
0,0;-5,7623;-9,7623;-5,8497;-9,8497;;
