sep=;
Time_ms;Input_Lin;Output_Lin;Gain_Factor_Lin;Input_dB;Output_dB;Gain_Reduction_dB;
522,66666667;-0,8660254;-0,27824324;0,32128762;0,0;-9,86211761;-9,86212021;
522,8125;-0,92387953;-0,29683007;0,32128655;0,0;-9,86211761;-9,86214915;
522,95833333;-0,25881905;-0,08315399;0,32128236;0,0;-9,86211761;-9,86226242;
523,10416667;0,60876143;0,19558639;0,32128578;0,0;-9,86211761;-9,86216996;
523,25;1,0;0,32128771;0,32128771;0,0;-9,86211761;-9,86211761;
523,39583333;0,60876143;0,19558533;0,32128403;0,0;-9,86211761;-9,86221714;
523,54166667;-0,25881905;-0,08315422;0,32128324;0,0;-9,86211761;-9,86223855;
523,6875;-0,92387953;-0,29683131;0,3212879;0,0;-9,86211761;-9,86211268;
523,83333333;-0,8660254;-0,27824183;0,32128599;0,0;-9,86211761;-9,86216431;
523,97916667;-0,13052619;-0,04193573;0,32128211;0,0;-9,86211761;-9,86226908;
524,125;0,70710678;0,22718388;0,32128653;0,0;-9,86211761;-9,86214969;
524,27083333;0,99144486;0,31853877;0,32128742;0,0;-9,86211761;-9,86212547;
524,41666667;0,5;0,16064169;0,32128338;0,0;-9,86211761;-9,86223482;
524,5625;-0,38268343;-0,12295009;0,32128408;0,0;-9,86211761;-9,86221598;
524,70833333;-0,96592583;-0,31034035;0,32128797;0,0;-9,86211761;-9,86211071;
524,85416667;-0,79335334;-0,25489282;0,32128537;0,0;-9,86211761;-9,86218108;
525,0;-0,0;-0,0;0,32128214;0,0;-9,86211761;-9,8622684;
525,14583333;0,79335334;0,25489424;0,32128715;0,0;-9,86211761;-9,8621328;
525,29166667;0,96592583;0,31033944;0,32128703;0,0;-9,86211761;-9,86213608;
525,4375;0,38268343;0,12294961;0,3212828;0,0;-9,86211761;-9,86225045;
525,58333333;-0,5;-0,16064247;0,32128495;0,0;-9,86211761;-9,86219248;
525,72916667;-0,99144486;-0,31853924;0,3212879;0,0;-9,86211761;-9,86211267;
525,875;-0,70710678;-0,2271826;0,32128471;0,0;-9,86211761;-9,8621989;
526,02083333;0,13052619;0,04193579;0,32128255;0,0;-9,86211761;-9,8622571;
526,16666667;0,8660254;0,27824324;0,32128762;0,0;-9,86211761;-9,86212021;
526,3125;0,92387953;0,29683007;0,32128655;0,0;-9,86211761;-9,86214915;
526,45833333;0,25881905;0,08315399;0,32128236;0,0;-9,86211761;-9,86226242;
526,60416667;-0,60876143;-0,19558639;0,32128578;0,0;-9,86211761;-9,86216996;
526,75;-1,0;-0,32128771;0,32128771;0,0;-9,86211761;-9,86211761;
526,89583333;-0,60876143;-0,19558533;0,32128403;0,0;-9,86211761;-9,86221714;
527,04166667;0,25881905;0,08315422;0,32128324;0,0;-9,86211761;-9,86223855;
527,1875;0,92387953;0,29683131;0,3212879;0,0;-9,86211761;-9,86211268;
